Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-01-01,35,,0,38,51,26,10,16,
2012-01-02,83,,1,68,153,53,6,43,
2012-01-03,135,,2,104,248,89,3,58,
2012-01-04,144,,1,116,318,111,8,61,
2012-01-05,197,,2,124,330,97,13,95,
2012-01-06,146,,0,98,244,86,4,75,
2012-01-07,98,,2,80,108,53,6,54,
2012-01-08,95,,1,62,98,64,11,63,
2012-01-09,244,,2,165,432,198,12,173,
2012-01-10,397,,3,238,563,275,18,241,
2012-01-11,273,,0,182,443,258,12,194,
2012-01-12,157,,1,134,261,137,9,63,
2012-01-13,75,,0,41,105,64,2,0,
2012-01-14,32,,0,54,56,19,0,1,
2012-01-15,54,,0,33,60,18,0,0,
2012-01-16,168,,2,136,312,137,1,0,
2012-01-17,155,,0,86,256,74,0,0,
2012-01-18,139,,0,66,188,68,3,0,
2012-01-19,191,,1,104,248,79,3,0,
2012-01-20,161,,4,96,217,67,1,1,
2012-01-21,53,,0,47,70,32,1,0,
2012-01-22,71,,0,41,73,35,5,0,
2012-01-23,210,,6,114,357,91,6,0,
2012-01-24,299,,1,189,444,174,4,0,
2012-01-25,334,,1,217,453,180,4,0,
2012-01-26,306,,0,215,495,191,0,1,
2012-01-27,91,,5,79,204,65,0,0,
2012-01-28,80,,1,61,123,33,9,1,
2012-01-29,87,,1,65,132,40,7,0,
2012-01-30,219,,0,146,371,152,2,0,
2012-01-31,186,,1,109,324,122,0,0,
2012-02-01,138,,0,100,271,71,5,0,
2012-02-02,217,,5,134,345,128,2,2,
2012-02-03,174,,1,103,301,111,1,1,
2012-02-04,84,,0,53,119,44,8,0,
2012-02-05,72,,0,46,133,54,7,0,
2012-02-06,248,,1,136,425,167,10,0,
2012-02-07,316,,0,209,516,225,9,0,
2012-02-08,271,,0,202,503,215,4,1,
2012-02-09,342,,0,227,471,231,11,0,
2012-02-10,303,,1,206,478,216,6,2,
2012-02-11,71,,0,63,112,49,3,0,
2012-02-12,78,,0,36,91,53,5,0,
2012-02-13,211,,0,175,408,207,4,0,
2012-02-14,318,,0,186,504,243,9,1,
2012-02-15,307,,0,180,491,232,5,1,
2012-02-16,386,,1,212,569,295,10,0,
2012-02-17,332,,3,237,496,260,11,1,
2012-02-18,220,,1,159,280,134,30,0,
2012-02-19,169,,3,110,205,113,13,2,
2012-02-20,303,,2,224,470,243,14,10,
2012-02-21,441,,5,292,503,286,10,6,
2012-02-22,375,,10,263,501,264,12,3,
2012-02-23,397,,10,293,528,329,22,13,
2012-02-24,243,,4,187,313,137,4,13,
2012-02-25,62,,0,48,52,18,2,5,
2012-02-26,78,,0,76,47,35,4,0,
2012-02-27,119,,4,94,298,134,3,5,
2012-02-28,195,,0,158,350,168,9,3,
2012-02-29,242,,0,164,446,190,7,4,
2012-03-01,92,,0,56,199,63,0,14,
2012-03-02,143,,0,56,283,77,7,1,
2012-03-03,82,,0,65,133,47,2,0,
2012-03-04,107,,2,79,138,60,15,0,
2012-03-05,155,,1,114,363,157,8,2,
2012-03-06,269,,0,192,437,170,10,0,
2012-03-07,438,,3,290,715,266,28,0,
2012-03-08,348,,6,238,530,270,9,9,
2012-03-09,371,,8,279,575,268,8,38,
2012-03-10,182,,13,162,296,165,0,58,
2012-03-11,380,,60,253,540,289,0,285,
2012-03-12,802,,179,618,1265,747,0,548,
2012-03-13,442,,145,321,769,425,0,325,
2012-03-14,469,,146,313,739,451,0,336,
2012-03-15,724,,244,562,1021,631,63,565,
2012-03-16,423,,149,305,695,419,9,422,
2012-03-17,681,,287,422,872,468,334,1008,
2012-03-18,1940,,856,1036,1923,1021,1128,2477,
2012-03-19,1821,,1024,1278,2581,1609,506,2058,
2012-03-20,2481,,1261,1709,3130,1955,762,2609,
2012-03-21,2829,,1558,1893,3510,2225,993,2846,
2012-03-22,2195,,1030,1640,2654,1958,548,2254,
2012-03-23,2115,,1143,1512,2955,1791,663,2325,
2012-03-24,753,,336,517,1001,635,277,1035,
2012-03-25,520,,243,309,691,427,145,723,
2012-03-26,968,,564,729,1493,965,130,1168,
2012-03-27,1049,,517,774,1576,972,163,1207,
2012-03-28,435,,179,329,709,486,28,529,
2012-03-29,878,,406,646,1264,807,78,937,
2012-03-30,1157,,529,910,1596,957,196,1288,
2012-03-31,980,,499,587,1083,706,524,1370,
2012-04-01,662,,341,442,824,471,168,1086,
2012-04-02,1937,,967,1537,2853,1614,394,2122,
2012-04-03,2416,,1078,1791,3556,1880,513,2450,
2012-04-04,2211,,933,1674,2956,1666,274,2242,
2012-04-05,2424,,1036,1823,3273,1699,355,2463,
2012-04-06,1633,,650,1045,1913,975,621,2138,
2012-04-07,1208,,494,739,1445,709,598,1566,
2012-04-08,1164,,560,621,1333,704,792,1533,
2012-04-09,828,,298,560,1048,605,65,1001,
2012-04-10,2183,,909,1588,2932,1736,252,2108,
2012-04-11,2328,,1049,1765,3122,1843,330,2311,
2012-04-12,3064,,1483,2306,4076,2280,590,3213,
2012-04-13,3341,,1505,2565,4465,2358,922,3728,
2012-04-14,2890,,1072,1639,2994,1594,1284,3428,
2012-04-15,2554,,1210,1637,2954,1559,1846,3604,
2012-04-16,3643,,1841,2723,4830,2677,1061,3616,
2012-04-17,3539,,1616,2636,4592,2450,544,3333,
2012-04-18,3570,,1751,2759,4655,2534,706,3542,
2012-04-19,4231,,2010,3235,5311,2877,1206,3929,
2012-04-20,2087,,800,1529,2922,1531,170,2065,
2012-04-21,533,,212,398,710,408,50,755,
2012-04-22,1853,,487,1224,1331,654,198,1779,
2012-04-23,623,,315,544,1076,612,27,846,
2012-04-24,1810,,720,1355,2379,1286,188,1753,
2012-04-25,2966,,1023,2228,3444,1800,445,2454,
2012-04-26,2751,,1069,2196,3546,1789,381,2438,
2012-04-27,1986,,743,1526,2586,1298,139,1899,
2012-04-28,1684,,628,1190,1908,931,523,2323,
2012-04-29,1970,,765,1212,2077,1062,702,2493,
2012-04-30,3610,,1572,2825,4675,2446,851,3541,
2012-05-01,1986,,815,1722,2766,1516,195,1960,
2012-05-02,3724,,1677,2885,4731,2508,876,3501,
2012-05-03,3698,,1618,3001,4943,2577,731,3603,
2012-05-04,2511,,1163,2058,3717,1823,380,2631,
2012-05-05,3492,,1366,2106,3696,1779,1677,4108,
2012-05-06,3411,,1525,1815,3346,1879,2036,4633,
2012-05-07,5552,,2573,3959,6355,3416,1848,5253,
2012-05-08,1241,,625,991,1729,1007,119,1383,
2012-05-09,3297,,1545,2700,4343,2340,737,3129,
2012-05-10,2755,,1227,2130,4056,2075,399,2437,
2012-05-11,4639,,1803,3663,5713,2888,1260,4499,
2012-05-12,3854,,1457,2429,3894,1805,2268,4855,
2012-05-13,2741,,1223,1703,3086,1592,1394,3496,
2012-05-14,6189,,2709,4402,7006,3868,2215,5775,
2012-05-15,3964,,1773,3144,5088,2650,975,3765,
2012-05-16,4947,,2178,3681,5882,3057,1332,4348,
2012-05-17,5351,,2441,4182,6551,3408,1631,4988,
2012-05-18,5980,,2241,4415,6646,3196,1711,5273,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-05-20,5255,,1663,2730,4462,2182,4241,5539,
2012-05-21,5129,,1646,2672,4169,2044,3413,5053,
2012-05-22,2315,,938,1847,2599,1610,251,2069,
2012-05-23,5974,,2650,4407,7281,3737,1826,4798,
2012-05-24,6485,,2653,4600,7600,3792,2062,5209,
2012-05-25,5697,,2205,4096,6734,3341,1953,5174,
2012-05-26,4974,,1622,2936,4991,2373,3455,5443,
2012-05-27,4396,,1525,2578,4587,2073,2886,5168,
2012-05-28,4268,,1962,3449,5798,2898,1027,3894,
2012-05-29,3154,,1184,2325,3904,1933,475,2731,
2012-05-30,6459,,2722,4806,7632,3817,2454,5172,
2012-05-31,5104,,2177,3985,6631,3205,1389,4410,
2012-06-01,6097,,2604,4110,7175,3895,1692,6595,
2012-06-02,943,,392,630,1289,628,71,1436,
2012-06-03,2755,,1897,2020,3768,2324,1312,4936,
2012-06-04,2717,,1408,2095,4276,2168,333,3090,
2012-06-05,5842,,2721,3927,7302,3786,1232,5348,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-06-07,6246,,2607,4670,8222,3972,1019,5724,
2012-06-08,4169,,1833,3303,5881,3001,623,4474,
2012-06-09,5164,,1672,3418,5557,2451,1551,6026,
2012-06-10,5112,,1812,2905,4798,2328,1833,6170,
2012-06-11,6206,,2577,4333,7015,3757,1264,5721,
2012-06-12,3361,,1556,2362,4230,2381,589,3030,
2012-06-13,6180,,2792,4374,7297,3825,1968,5887,
2012-06-14,6908,,2978,4809,7934,4223,2386,6243,
2012-06-15,7077,,2469,4999,7663,4053,2293,6491,
